audio_id,duration_sec,is_music,has_vocals,content_branch,quality_branch,duration_branch,source_branch,final_branch,flags,flag_for_review,reasons
01M0RFPVPNNQ8XKY1MCWV09261,440.424,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.907>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=440.4s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVQ9VHGMFC40XBGPPTWQ,249.502,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.801>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=249.5s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVQSC0HP4QJKKVCQYKCX,526.341,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.939>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=526.3s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVRHY5G2H321MC6ZR7AZ,281.051,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.970>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=281.1s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVS7VN7C7RPNCZ2XYDFS,214.738,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.964>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=214.7s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVSQM6GZ0JRCMPDF9GE1,292.833,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.953>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=292.8s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVT8N9F5BHQDGGGRMG21,323.788,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.926>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=323.8s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVTTSMAV6XT49PFATG84,159.92,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.930>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=159.9s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVVA13WC4CZK46J56CAR,481.733,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.871>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=481.7s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVW4WCC7HFNFHE8S2J14,217.493,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.924>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=217.5s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVWPN4GTHYGPW6JVN04A,242.39,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.946>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=242.4s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVX85S698FK15G4BD67B,174.356,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.747>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=174.4s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVXNQE9WKJ0DC1JYWY0C,297.653,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.929>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=297.7s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVY8ZNBRSF3M6KVT1TY2,134.893,True,True,marginal,pass,pass,pass,marginal,"[""mono""]",True,"{""content"": ""music_score=0.616 in [0.3,0.7]"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=134.9s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVZ0G44ST7R8JY1PQDT3,443.794,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.952>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=443.8s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RFPVZTW8NW05DYV61GQ7EC,307.36,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.818>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=307.4s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
01M0RHT5QBG7MD9CBDYF68TKPY,688.4,True,False,pass,pass,pass,pass,pass,"[""mono""]",False,"{""content"": ""music_score=0.873>=0.7"", ""quality"": ""all_checks_pass"", ""duration"": ""duration=688.4s normal"", ""source"": ""mono"", ""blacklist"": ""no_raw_tags""}"
